marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
arrêter,lemma,1.0,0.0,9.0,5.0,15.0,0.06666666666666667,0.0,0.6,0.3333333333333333,1.2309595631140104,0.6154797815570052
du,word,1.0,0.0,6.0,2.0,9.0,0.1111111111111111,0.0,0.6666666666666666,0.2222222222222222,1.224394445405986,0.612197222702993
dit,word,2.0,1.0,6.0,0.0,9.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.0,1.224394445405986,0.612197222702993
pouvoir,lemma,2.0,0.0,6.0,1.0,9.0,0.2222222222222222,0.0,0.6666666666666666,0.1111111111111111,1.224394445405986,0.612197222702993
il,word,2.0,1.0,18.0,3.0,24.0,0.08333333333333333,0.041666666666666664,0.75,0.125,1.176065103715944,0.588032551857972
ou,lemma,2.0,0.0,7.0,1.0,10.0,0.2,0.0,0.7,0.1,1.1567796494470395,0.5783898247235197
juste,word,1.0,0.0,7.0,2.0,10.0,0.1,0.0,0.7,0.2,1.1567796494470395,0.5783898247235197
juste,lemma,1.0,0.0,7.0,2.0,10.0,0.1,0.0,0.7,0.2,1.1567796494470395,0.5783898247235197
ou,word,2.0,0.0,7.0,1.0,10.0,0.2,0.0,0.7,0.1,1.1567796494470395,0.5783898247235197
.,punctuation,1.0,0.0,16.0,8.0,25.0,0.04,0.0,0.64,0.32,1.1238561897747248,0.5619280948873624
ta,word,7.0,2.0,40.0,3.0,52.0,0.1346153846153846,0.038461538461538464,0.7692307692307693,0.057692307692307696,1.0988340306014537,0.5494170153007268
?,punctuation,4.0,2.0,28.0,2.0,36.0,0.1111111111111111,0.05555555555555555,0.7777777777777778,0.05555555555555555,1.0975378398419535,0.5487689199209768
à,lemma,1.0,3.0,27.0,4.0,35.0,0.02857142857142857,0.08571428571428572,0.7714285714285715,0.11428571428571428,1.096801586642763,0.5484007933213815
