marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
toi,word,32.0,10.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.0,0.7272727272727273,0.22727272727272727,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068084324344715,0.3087456097095636
blague,word,6.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.75,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061278124459133,0.30677817672175306
toi,lemma,33.0,10.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.0,0.7333333333333333,0.2222222222222222,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.054424498825173,0.30479703461822455
con,lemma,9.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,12.0,0.75,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0408520829727552,0.3008737265871313
casse,word,9.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,12.0,0.75,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0408520829727552,0.3008737265871313
oyer,lemma,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
negre,word,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
negre,lemma,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
classe,lemma,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
reposter,lemma,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
