marker_value,spacy_count,stanza_count,total_count,match_key,lexicon_match_status,exact_lexicon_term,exact_lexicon_category,in_lexique_emotionnel,best_candidate_term,best_candidate_category,best_candidate_confidence,best_candidate_repair_type
inquiets,0,0,14,inquiets,repaired_high,,,False,inquiet,peur,high,inflected_or_extended_marker
inquiètent,0,0,14,inquietent,repaired_high,,,False,inquiéter,peur,high,shared_long_stem_edit_distance
insultes,0,0,14,insultes,no_match,,,False,,,,
plaisante,0,0,14,plaisante,repaired_high,,,False,plaisant,amour,high,inflected_or_extended_marker
président,0,0,14,president,no_match,,,False,,,,
spectaculaire,0,0,14,spectaculaire,no_match,,,False,,,,
amusant,0,0,13,amusant,exact,amusant,joie,True,,,,
dépression,0,0,13,depression,no_match,,,False,,,,
subir,0,0,13,subir,no_match,,,False,,,,
surprenant,0,0,13,surprenant,exact,surprenant,surprise,True,,,,
surprendre,0,0,13,surprendre,exact,surprendre,surprise,True,,,,
étonner,0,0,13,etonner,exact,étonner,surprise,True,,,,
aise,0,0,12,aise,no_match,,,False,,,,
colèr,0,0,12,coler,repaired_high,,,False,colère,colere,high,truncated_prefix_marker
contente,0,0,12,contente,repaired_high,,,False,contenter,joie,high,truncated_prefix_marker
cool,0,0,12,cool,no_match,,,False,,,,
fierté,0,0,12,fierte,exact,fierté,fierte,True,,,,
honte,0,0,12,honte,exact,honte,embarras,True,,,,
jaloux,0,0,12,jaloux,exact,jaloux,jalousie,True,,,,
malheureusement,0,0,12,malheureusement,exact,malheureusement,tristesse,True,,,,
redoute,0,0,12,redoute,repaired_high,,,False,redouter,peur,high,truncated_prefix_marker
santé,0,0,12,sante,no_match,,,False,,,,
tellement,0,0,12,tellement,no_match,,,False,,,,
«,0,0,12,«,no_match,,,False,,,,
»,0,0,12,»,no_match,,,False,,,,
dangereuses,0,0,11,dangereuses,no_match,,,False,danger,peur,medium,inflected_or_extended_marker
déçu,0,0,11,decu,exact,déçu,deplaisir,True,,,,
effrayer,0,0,11,effrayer,exact,effrayer,peur,True,,,,
fière,0,0,11,fiere,no_match,,,False,fierté,fierte,medium,same_prefix_fuzzy
petit,0,0,11,petit,no_match,,,False,petit ami,amour,medium,truncated_prefix_marker
satisfaire,0,0,11,satisfaire,exact,satisfaire,joie,True,,,,
étrange,0,0,11,etrange,no_match,,,False,,,,
avant,0,0,10,avant,no_match,,,False,,,,
déçue,0,0,10,decue,no_match,,,False,déçu,deplaisir,medium,same_prefix_fuzzy
guerre,0,0,10,guerre,no_match,,,False,,,,
incroyable,0,0,10,incroyable,no_match,,,False,,,,
inquiétant,0,0,10,inquietant,exact,inquiétant,peur,True,,,,
insolite,0,0,10,insolite,no_match,,,False,,,,
marre,0,0,10,marre,repaired_high,,,False,marrer,joie,high,truncated_prefix_marker
merveilleux,0,0,10,merveilleux,exact,merveilleux,joie,True,,,,
mécontent,0,0,10,mecontent,exact,mécontent,colere,True,,,,
méfiance,0,0,10,mefiance,exact,méfiance,peur,True,,,,
scandale,0,0,10,scandale,exact,scandale,colere,True,,,,
super,0,0,10,super,no_match,,,False,,,,
véritable,0,0,10,veritable,no_match,,,False,,,,
étonnante,0,0,10,etonnante,repaired_high,,,False,étonnant,surprise,high,inflected_or_extended_marker
admirer,0,0,9,admirer,exact,admirer,admiration,True,,,,
angoisse,0,0,9,angoisse,exact,angoisse,peur,True,,,,
craint,0,0,9,craint,repaired_high,,,False,crainte,peur,high,truncated_prefix_marker
effrayant,0,0,9,effrayant,exact,effrayant,peur,True,,,,
enthousiasme,0,0,9,enthousiasme,exact,enthousiasme,joie,True,,,,
grande,0,0,9,grande,no_match,,,False,,,,
grave,0,0,9,grave,no_match,,,False,,,,
gros,0,0,9,gros,no_match,,,False,,,,
parler,0,0,9,parler,no_match,,,False,,,,
ravir,0,0,9,ravir,exact,ravir,joie,True,,,,
choc,0,0,8,choc,no_match,,,False,,,,
corée,0,0,8,coree,no_match,,,False,,,,
embêtant,0,0,8,embetant,exact,embêtant,deplaisir,True,,,,
honneur,0,0,8,honneur,exact,honneur,fierte,True,,,,
hont,0,0,8,hont,no_match,,,False,honte,embarras,medium,same_prefix_fuzzy
minable,0,0,8,minable,no_match,,,False,,,,
mort,0,0,8,mort,no_match,,,False,,,,
mécontents,0,0,8,mecontents,repaired_high,,,False,mécontent,colere,high,inflected_or_extended_marker
père,0,0,8,pere,no_match,,,False,,,,
ravi,0,0,8,ravi,exact,ravi,joie,True,,,,
regrette,0,0,8,regrette,repaired_high,,,False,regretter,culpabilite,high,truncated_prefix_marker
regretter,0,0,8,regretter,exact,regretter,culpabilite,True,,,,
terroriste,0,0,8,terroriste,repaired_high,,,False,terroriser,peur,high,shared_long_stem_edit_distance
travail,0,0,8,travail,no_match,,,False,,,,
tristes,0,0,8,tristes,repaired_high,,,False,triste,tristesse,high,inflected_or_extended_marker
trump,0,0,8,trump,no_match,,,False,,,,
vraie,0,0,8,vraie,no_match,,,False,,,,
étonnement,0,0,8,etonnement,exact,étonnement,surprise,True,,,,
amuser,0,0,7,amuser,exact,amuser,joie,True,,,,
bon,0,0,7,bon,no_match,,,False,,,,
cauchemar,0,0,7,cauchemar,exact,cauchemar,peur,True,,,,
décevoir,0,0,7,decevoir,exact,décevoir,deplaisir,True,,,,
embêter,0,0,7,embeter,exact,embêter,deplaisir,True,,,,
furieux,0,0,7,furieux,exact,furieux,colere,True,,,,
joyeux,0,0,7,joyeux,exact,joyeux,joie,True,,,,
loi,0,0,7,loi,no_match,,,False,,,,
magique,0,0,7,magique,no_match,,,False,,,,
menacent,0,0,7,menacent,repaired_high,,,False,menace,peur,high,inflected_or_extended_marker
menacé,0,0,7,menace,exact,menace,peur,True,,,,
menaçante,0,0,7,menacante,repaired_high,,,False,menaçant,peur,high,inflected_or_extended_marker
peine,0,0,7,peine,exact,peine,tristesse,True,,,,
prestigieux,0,0,7,prestigieux,no_match,,,False,,,,
redouter,0,0,7,redouter,exact,redouter,peur,True,,,,
rigolo,0,0,7,rigolo,exact,rigolo,joie,True,,,,
sympa,0,0,7,sympa,exact,sympa,amour,True,,,,
traiter,0,0,7,traiter,no_match,,,False,,,,
agréable,0,0,6,agreable,no_match,,,False,,,,
autant,0,0,6,autant,no_match,,,False,,,,
carburant,0,0,6,carburant,no_match,,,False,,,,
chine,0,0,6,chine,no_match,,,False,,,,
choquant,0,0,6,choquant,no_match,,,False,,,,
coupable,0,0,6,coupable,exact,coupable,culpabilite,True,,,,
craignaient,0,0,6,craignaient,no_match,,,False,,,,
degouter,0,0,6,degouter,exact,dégoûter,degout,True,,,,
donald,0,0,6,donald,no_match,,,False,,,,
drole,0,0,6,drole,exact,drôle,joie,True,,,,
décourage,0,0,6,decourage,repaired_high,,,False,décourager,tristesse,high,truncated_prefix_marker
détresse,0,0,6,detresse,exact,détresse,tristesse,True,,,,
détruire,0,0,6,detruire,no_match,,,False,,,,
embête,0,0,6,embete,repaired_high,,,False,embêter,deplaisir,high,truncated_prefix_marker
encore,0,0,6,encore,no_match,,,False,,,,
enfant,0,0,6,enfant,no_match,,,False,,,,
exceptionnel,0,0,6,exceptionnel,no_match,,,False,,,,
exceptionnelle,0,0,6,exceptionnelle,no_match,,,False,,,,
exploit,0,0,6,exploit,no_match,,,False,,,,
fan,0,0,6,fan,no_match,,,False,,,,
faute,0,0,6,faute,exact,faute,culpabilite,True,,,,
formidable,0,0,6,formidable,no_match,,,False,,,,
fortement,0,0,6,fortement,no_match,,,False,,,,
forêt,0,0,6,foret,no_match,,,False,,,,
france,0,0,6,france,no_match,,,False,,,,
fâché,0,0,6,fache,exact,fâché,colere,True,,,,
gagner,0,0,6,gagner,no_match,,,False,,,,
gens,0,0,6,gens,no_match,,,False,,,,
incroyables,0,0,6,incroyables,no_match,,,False,,,,
inquiétudes,0,0,6,inquietudes,repaired_high,,,False,inquiétude,peur,high,inflected_or_extended_marker
mauvais,0,0,6,mauvais,repaired_high,,,False,mauvaiseté,inhumanite,high,truncated_prefix_marker
menaces,0,0,6,menaces,repaired_high,,,False,menace,peur,high,inflected_or_extended_marker
menacés,0,0,6,menaces,repaired_high,,,False,menace,peur,high,inflected_or_extended_marker
monde,0,0,6,monde,no_match,,,False,,,,
mourir,0,0,6,mourir,no_match,,,False,,,,
nord,0,0,6,nord,no_match,,,False,,,,
particulièrement,0,0,6,particulierement,no_match,,,False,,,,
planète,0,0,6,planete,no_match,,,False,,,,
plutôt,0,0,6,plutot,no_match,,,False,,,,
potentielle,0,0,6,potentielle,no_match,,,False,,,,
prix,0,0,6,prix,no_match,,,False,,,,
pénible,0,0,6,penible,no_match,,,False,,,,
risques,0,0,6,risques,no_match,,,False,,,,
soit,0,0,6,soit,no_match,,,False,,,,
tête,0,0,6,tete,no_match,,,False,,,,
vexé,0,0,6,vexe,exact,vexé,embarras,True,,,,
victime,0,0,6,victime,no_match,,,False,,,,
école,0,0,6,ecole,no_match,,,False,,,,
élu,0,0,6,elu,no_match,,,False,,,,
émerveiller,0,0,6,emerveiller,exact,émerveiller,admiration,True,,,,
alarmant,0,0,5,alarmant,exact,alarmant,peur,True,,,,
amus,0,0,5,amus,no_match,,,False,,,,
amuse,0,0,5,amuse,repaired_high,,,False,amuser,joie,high,truncated_prefix_marker
angoisser,0,0,5,angoisser,exact,angoisser,peur,True,,,,
animal,0,0,5,animal,no_match,,,False,,,,
attentat,0,0,5,attentat,no_match,,,False,,,,
choqués,0,0,5,choques,no_match,,,False,,,,
chose,0,0,5,chose,no_match,,,False,,,,
choses,0,0,5,choses,no_match,,,False,,,,
effondrer,0,0,5,effondrer,no_match,,,False,,,,
effrayants,0,0,5,effrayants,repaired_high,,,False,effrayant,peur,high,inflected_or_extended_marker
effrayé,0,0,5,effraye,repaired_high,,,False,effrayer,peur,high,truncated_prefix_marker
entrer,0,0,5,entrer,no_match,,,False,,,,
extraordinaire,0,0,5,extraordinaire,no_match,,,False,,,,
femme,0,0,5,femme,no_match,,,False,,,,
français,0,0,5,francais,no_match,,,False,,,,
fâchés,0,0,5,faches,repaired_high,,,False,fâché,colere,high,inflected_or_extended_marker
gêner,0,0,5,gener,no_match,,,False,,,,
heureuse,0,0,5,heureuse,no_match,,,False,heureux,joie,medium,shared_long_stem_edit_distance
inquiétante,0,0,5,inquietante,repaired_high,,,False,inquiétant,peur,high,inflected_or_extended_marker
insulté,0,0,5,insulte,no_match,,,False,,,,
mauvaise,0,0,5,mauvaise,repaired_high,,,False,mauvaiseté,inhumanite,high,truncated_prefix_marker
ministre,0,0,5,ministre,no_match,,,False,,,,
nombreux,0,0,5,nombreux,no_match,,,False,,,,
particulier,0,0,5,particulier,no_match,,,False,,,,
perdre,0,0,5,perdre,no_match,,,False,,,,
préoccupation,0,0,5,preoccupation,exact,préoccupation,peur,True,,,,
ravie,0,0,5,ravie,no_match,,,False,ravi,joie,medium,same_prefix_fuzzy
souci,0,0,5,souci,exact,souci,peur,True,,,,
surprises,0,0,5,surprises,repaired_high,,,False,surprise,surprise,high,inflected_or_extended_marker
tendre,0,0,5,tendre,exact,tendre,amour,True,,,,
tension,0,0,5,tension,exact,tension,deplaisir,True,,,,
tensions,0,0,5,tensions,repaired_high,,,False,tension,deplaisir,high,inflected_or_extended_marker
traité,0,0,5,traite,no_match,,,False,,,,
venir,0,0,5,venir,no_match,,,False,,,,
violence,0,0,5,violence,no_match,,,False,,,,
étonn,0,0,5,etonn,repaired_high,,,False,étonné,surprise,high,truncated_prefix_marker
étonne,0,0,5,etonne,exact,étonné,surprise,True,,,,
étonné,0,0,5,etonne,exact,étonné,surprise,True,,,,
étonnés,0,0,5,etonnes,repaired_high,,,False,étonné,surprise,high,inflected_or_extended_marker
(,0,0,4,(,no_match,,,False,,,,
),0,0,4,),no_match,,,False,,,,
admirable,0,0,4,admirable,exact,admirable,admiration,True,,,,
admiration,0,0,4,admiration,exact,admiration,admiration,True,,,,
adulte,0,0,4,adulte,no_match,,,False,aduler,admiration,medium,same_prefix_fuzzy
agression,0,0,4,agression,no_match,,,False,,,,
akhenaton,0,0,4,akhenaton,no_match,,,False,,,,
amusent,0,0,4,amusent,repaired_high,,,False,amusement,joie,high,shared_long_stem_edit_distance
an,0,0,4,an,no_match,,,False,,,,
ans,0,0,4,ans,no_match,,,False,,,,
argent,0,0,4,argent,no_match,,,False,,,,
armstrong,0,0,4,armstrong,no_match,,,False,,,,
arrivée,0,0,4,arrivee,no_match,,,False,,,,
augmentation,0,0,4,augmentation,no_match,,,False,,,,
blague,0,0,4,blague,no_match,,,False,,,,
blagues,0,0,4,blagues,no_match,,,False,,,,
bonne,0,0,4,bonne,no_match,,,False,bonne humeur,joie,medium,truncated_prefix_marker
campagne,0,0,4,campagne,no_match,,,False,,,,
cancer,0,0,4,cancer,no_match,,,False,,,,
cause,0,0,4,cause,no_match,,,False,,,,
chagrin,0,0,4,chagrin,exact,chagrin,tristesse,True,,,,
chinois,0,0,4,chinois,no_match,,,False,,,,
climatique,0,0,4,climatique,no_match,,,False,,,,
complètement,0,0,4,completement,no_match,,,False,,,,
comprendre,0,0,4,comprendre,no_match,,,False,,,,
conflit,0,0,4,conflit,no_match,,,False,,,,
corps,0,0,4,corps,no_match,,,False,,,,
cours,0,0,4,cours,no_match,,,False,,,,
crise,0,0,4,crise,no_match,,,False,,,,
croire,0,0,4,croire,no_match,,,False,,,,
degeulasse,0,0,4,degeulasse,no_match,,,False,,,,
degoute,0,0,4,degoute,exact,dégoûté,degout,True,,,,
drame,0,0,4,drame,exact,drame,tristesse,True,,,,
dégager,0,0,4,degager,no_match,,,False,,,,
déjà,0,0,4,deja,no_match,,,False,,,,
désagréable,0,0,4,desagreable,exact,désagréable,deplaisir,True,,,,
désespérer,0,0,4,desesperer,exact,désespérer,tristesse,True,,,,
déçus,0,0,4,decus,no_match,,,False,déçu,deplaisir,medium,same_prefix_fuzzy
emmanuel,0,0,4,emmanuel,no_match,,,False,,,,
engouement,0,0,4,engouement,exact,engouement,amour,True,,,,
environnement,0,0,4,environnement,no_match,,,False,,,,
europe,0,0,4,europe,no_match,,,False,,,,
extrêmement,0,0,4,extremement,no_match,,,False,,,,
fabuleux,0,0,4,fabuleux,no_match,,,False,,,,
façon,0,0,4,facon,no_match,,,False,,,,
fois,0,0,4,fois,no_match,,,False,,,,
folâtre,0,0,4,folatre,exact,folâtre,joie,True,,,,
frimer,0,0,4,frimer,no_match,,,False,,,,
frère,0,0,4,frere,no_match,,,False,,,,
fun,0,0,4,fun,no_match,,,False,,,,
fâcher,0,0,4,facher,exact,fâcher,colere,True,,,,
gêne,0,0,4,gene,no_match,,,False,,,,
homme,0,0,4,homme,no_match,,,False,,,,
homophobe,0,0,4,homophobe,no_match,,,False,,,,
homosexualité,0,0,4,homosexualite,no_match,,,False,,,,
hors,0,0,4,hors,no_match,,,False,,,,
humeur,0,0,4,humeur,exact,humeur,non_specifiee,True,,,,
immonde,0,0,4,immonde,exact,immonde,degout,True,,,,
impressionnantes,0,0,4,impressionnantes,no_match,,,False,,,,
impressionné,0,0,4,impressionne,no_match,,,False,,,,
indignation,0,0,4,indignation,exact,indignation,colere,True,,,,
installer,0,0,4,installer,no_match,,,False,,,,
jamais,0,0,4,jamais,no_match,,,False,,,,
jolie,0,0,4,jolie,no_match,,,False,,,,
jour,0,0,4,jour,no_match,,,False,,,,
kim,0,0,4,kim,no_match,,,False,,,,
macron,0,0,4,macron,no_match,,,False,,,,
maladie,0,0,4,maladie,no_match,,,False,,,,
malaise,0,0,4,malaise,no_match,,,False,,,,
malheureux,0,0,4,malheureux,exact,malheureux,tristesse,True,,,,
menaçant,0,0,4,menacant,exact,menaçant,peur,True,,,,
mieux,0,0,4,mieux,no_match,,,False,,,,
misère,0,0,4,misere,exact,misère,tristesse,True,,,,
montagne,0,0,4,montagne,no_match,,,False,,,,
mordre,0,0,4,mordre,no_match,,,False,,,,
nature,0,0,4,nature,no_match,,,False,,,,
nouveau,0,0,4,nouveau,no_match,,,False,,,,
paniquer,0,0,4,paniquer,exact,paniquer,peur,True,,,,
paniqué,0,0,4,panique,exact,panique,peur,True,,,,
parce,0,0,4,parce,no_match,,,False,,,,
part,0,0,4,part,no_match,,,False,,,,
parti,0,0,4,parti,no_match,,,False,,,,
pendant,0,0,4,pendant,no_match,,,False,,,,
plein,0,0,4,plein,no_match,,,False,plein de soi,orgueil,medium,truncated_prefix_marker
pleine,0,0,4,pleine,no_match,,,False,,,,
politique,0,0,4,politique,no_match,,,False,,,,
pollution,0,0,4,pollution,no_match,,,False,,,,
prestige,0,0,4,prestige,no_match,,,False,,,,
protéger,0,0,4,proteger,no_match,,,False,,,,
remords,0,0,4,remords,exact,remords,culpabilite,True,,,,
revit,0,0,4,revit,no_match,,,False,,,,
rire,0,0,4,rire,exact,rire,joie,True,,,,
risquer,0,0,4,risquer,no_match,,,False,,,,
réchauffement,0,0,4,rechauffement,no_match,,,False,,,,
satisfaction,0,0,4,satisfaction,exact,satisfaction,joie,True,,,,
soient,0,0,4,soient,no_match,,,False,,,,
souffraient,0,0,4,souffraient,no_match,,,False,,,,
souffrance,0,0,4,souffrance,no_match,,,False,,,,
stress,0,0,4,stress,exact,stress,peur,True,,,,
stressant,0,0,4,stressant,exact,stressant,peur,True,,,,
stresser,0,0,4,stresser,exact,stresser,peur,True,,,,
stupéfait,0,0,4,stupefait,no_match,,,False,,,,
subissent,0,0,4,subissent,no_match,,,False,,,,
subit,0,0,4,subit,no_match,,,False,,,,
surprenante,0,0,4,surprenante,repaired_high,,,False,surprenant,surprise,high,inflected_or_extended_marker
tendue,0,0,4,tendue,repaired_high,,,False,tendu,deplaisir,high,inflected_or_extended_marker
timidement,0,0,4,timidement,exact,timidement,peur,True,,,,
timidité,0,0,4,timidite,exact,timidité,peur,True,,,,
traumatisme,0,0,4,traumatisme,no_match,,,False,,,,
travailler,0,0,4,travailler,no_match,,,False,,,,
vexe,0,0,4,vexe,exact,vexé,embarras,True,,,,
vexer,0,0,4,vexer,exact,vexer,embarras,True,,,,
virus,0,0,4,virus,no_match,,,False,,,,
voter,0,0,4,voter,no_match,,,False,,,,
ébahi,0,0,4,ebahi,exact,ébahi,surprise,True,,,,
émerveillée,0,0,4,emerveillee,repaired_high,,,False,émerveillé,admiration,high,inflected_or_extended_marker
amour,0,0,3,amour,exact,amour,amour,True,,,,
amusante,0,0,3,amusante,repaired_high,,,False,amusant,joie,high,inflected_or_extended_marker
animaux,0,0,3,animaux,no_match,,,False,,,,
artiste,0,0,3,artiste,no_match,,,False,,,,
besoin,0,0,3,besoin,no_match,,,False,,,,
blesser,0,0,3,blesser,no_match,,,False,,,,
certain,0,0,3,certain,no_match,,,False,,,,
choquée,0,0,3,choquee,no_match,,,False,,,,
citoyen,0,0,3,citoyen,no_match,,,False,,,,
citoyens,0,0,3,citoyens,no_match,,,False,,,,
dieu,0,0,3,dieu,no_match,,,False,,,,
dirigeant,0,0,3,dirigeant,no_match,,,False,,,,
dramatique,0,0,3,dramatique,exact,dramatique,tristesse,True,,,,
dégoûter,0,0,3,degouter,exact,dégoûter,degout,True,,,,
engager,0,0,3,engager,no_match,,,False,,,,
enrager,0,0,3,enrager,exact,enrager,colere,True,,,,
enthousiasm,0,0,3,enthousiasm,repaired_high,,,False,enthousiasme,joie,high,truncated_prefix_marker
femmes,0,0,3,femmes,no_match,,,False,,,,
fières,0,0,3,fieres,no_match,,,False,fierté,fierte,medium,same_prefix_fuzzy
frustrer,0,0,3,frustrer,exact,frustrer,deplaisir,True,,,,
gêné,0,0,3,gene,no_match,,,False,,,,
heureuses,0,0,3,heureuses,no_match,,,False,,,,
histoire,0,0,3,histoire,no_match,,,False,,,,
humain,0,0,3,humain,no_match,,,False,,,,
immense,0,0,3,immense,no_match,,,False,,,,
impressionnants,0,0,3,impressionnants,no_match,,,False,,,,
inattendu,0,0,3,inattendu,no_match,,,False,,,,
inquiétantes,0,0,3,inquietantes,repaired_high,,,False,inquiétant,peur,high,inflected_or_extended_marker
lassée,0,0,3,lassee,repaired_high,,,False,lasser,comportement,high,shared_long_stem_edit_distance
liberté,0,0,3,liberte,no_match,,,False,,,,
loup,0,0,3,loup,no_match,,,False,,,,
luire,0,0,3,luire,no_match,,,False,,,,
magnifique,0,0,3,magnifique,no_match,,,False,,,,
marrantes,0,0,3,marrantes,repaired_high,,,False,marrant,joie,high,inflected_or_extended_marker
menacée,0,0,3,menacee,repaired_high,,,False,menace,peur,high,inflected_or_extended_marker
menaçait,0,0,3,menacait,repaired_high,,,False,menaçant,peur,high,shared_long_stem_edit_distance
mettre,0,0,3,mettre,no_match,,,False,,,,
montre,0,0,3,montre,no_match,,,False,,,,
mécontentements,0,0,3,mecontentements,repaired_high,,,False,mécontentement,colere,high,inflected_or_extended_marker
nombreuses,0,0,3,nombreuses,no_match,,,False,,,,
nucléaire,0,0,3,nucleaire,no_match,,,False,,,,
obliger,0,0,3,obliger,no_match,,,False,,,,
passer,0,0,3,passer,no_match,,,False,,,,
personnes,0,0,3,personnes,no_match,,,False,,,,
persécution,0,0,3,persecution,no_match,,,False,,,,
persécutions,0,0,3,persecutions,no_match,,,False,,,,
peuple,0,0,3,peuple,no_match,,,False,,,,
premier,0,0,3,premier,no_match,,,False,,,,
première,0,0,3,premiere,no_match,,,False,,,,
problème,0,0,3,probleme,no_match,,,False,,,,
préoccupant,0,0,3,preoccupant,exact,préoccupant,peur,True,,,,
préoccupations,0,0,3,preoccupations,repaired_high,,,False,préoccupation,peur,high,inflected_or_extended_marker
qu'on,0,0,3,qu'on,no_match,,,False,,,,
recevoir,0,0,3,recevoir,no_match,,,False,,,,
renvoyer,0,0,3,renvoyer,no_match,,,False,,,,
ridicule,0,0,3,ridicule,no_match,,,False,,,,
réjouir,0,0,3,rejouir,exact,réjouir,joie,True,,,,
satisfait,0,0,3,satisfait,exact,satisfait,joie,True,,,,
senti,0,0,3,senti,no_match,,,False,sentiment,non_specifiee,medium,truncated_prefix_marker
sentir,0,0,3,sentir,no_match,,,False,,,,
souffrent,0,0,3,souffrent,no_match,,,False,,,,
stressé,0,0,3,stresse,exact,stressé,peur,True,,,,
terroriser,0,0,3,terroriser,exact,terroriser,peur,True,,,,
terrorisé,0,0,3,terrorise,repaired_high,,,False,terroriser,peur,high,truncated_prefix_marker
timide,0,0,3,timide,exact,timide,peur,True,,,,
utiliser,0,0,3,utiliser,no_match,,,False,,,,
violences,0,0,3,violences,no_match,,,False,,,,
voulaient,0,0,3,voulaient,no_match,,,False,,,,
ému,0,0,3,emu,exact,ému,non_specifiee,True,,,,
émue,0,0,3,emue,no_match,,,False,,,,
énerv,0,0,3,enerv,repaired_high,,,False,énervé,colere,high,truncated_prefix_marker
énerve,0,0,3,enerve,exact,énervé,colere,True,,,,
énerver,0,0,3,enerver,exact,énerver,colere,True,,,,
"""",0,0,2,"""",no_match,,,False,,,,
.,0,0,2,.,no_match,,,False,,,,
abasourdi,0,0,2,abasourdi,no_match,,,False,,,,
abattu,0,0,2,abattu,exact,abattu,tristesse,True,,,,
abattus,0,0,2,abattus,repaired_high,,,False,abattu,tristesse,high,inflected_or_extended_marker
aborder,0,0,2,aborder,no_match,,,False,,,,
abusivement,0,0,2,abusivement,no_match,,,False,,,,
accabler,0,0,2,accabler,exact,accabler,tristesse,True,,,,
accablés,0,0,2,accables,repaired_high,,,False,accabler,tristesse,high,shared_long_stem_edit_distance
accepter,0,0,2,accepter,no_match,,,False,,,,
accord,0,0,2,accord,no_match,,,False,,,,
actuel,0,0,2,actuel,no_match,,,False,,,,
admirait,0,0,2,admirait,no_match,,,False,,,,
admire,0,0,2,admire,repaired_high,,,False,admirer,admiration,high,truncated_prefix_marker
admirent,0,0,2,admirent,no_match,,,False,admirer,admiration,medium,shared_long_stem_edit_distance
admiré,0,0,2,admire,repaired_high,,,False,admirer,admiration,high,truncated_prefix_marker
adultes,0,0,2,adultes,no_match,,,False,,,,
adversaire,0,0,2,adversaire,no_match,,,False,,,,
affoler,0,0,2,affoler,exact,affoler,peur,True,,,,
affolé,0,0,2,affole,exact,affolé,peur,True,,,,
