marker_value,marker_type,Comportementale,Designee,Montree,Suggeree,total_count,P(Comportementale),P(Designee),P(Montree),P(Suggeree),entropy,normalized_entropy
cul,word,0.0,1.0,3.0,1.0,5.0,0.0,0.2,0.6,0.2,1.3709505944546687,0.6854752972273344
porter,lemma,1.0,0.0,3.0,1.0,5.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
cul,lemma,0.0,1.0,3.0,1.0,5.0,0.0,0.2,0.6,0.2,1.3709505944546687,0.6854752972273344
justine,word,0.0,1.0,3.0,1.0,5.0,0.0,0.2,0.6,0.2,1.3709505944546687,0.6854752972273344
paix,lemma,1.0,0.0,3.0,1.0,5.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
porter,word,1.0,0.0,3.0,1.0,5.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
y,word,2.0,0.0,6.0,2.0,10.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
paix,word,1.0,0.0,3.0,1.0,5.0,0.2,0.0,0.6,0.2,1.3709505944546687,0.6854752972273344
te,word,10.0,4.0,35.0,3.0,52.0,0.19230769230769232,0.07692307692307693,0.6730769230769231,0.057692307692307696,1.3639190634466516,0.6819595317233258
nous,word,6.0,1.0,13.0,1.0,21.0,0.2857142857142857,0.047619047619047616,0.6190476190476191,0.047619047619047616,1.3630083113425158,0.6815041556712579
nous,lemma,6.0,1.0,13.0,1.0,21.0,0.2857142857142857,0.047619047619047616,0.6190476190476191,0.047619047619047616,1.3630083113425158,0.6815041556712579
ils,word,0.0,1.0,5.0,4.0,10.0,0.0,0.1,0.5,0.4,1.360964047443681,0.6804820237218405
ou,lemma,2.0,1.0,9.0,1.0,13.0,0.15384615384615385,0.07692307692307693,0.6923076923076923,0.07692307692307693,1.3520301017579528,0.6760150508789764
fatimer,lemma,1.0,1.0,9.0,2.0,13.0,0.07692307692307693,0.07692307692307693,0.6923076923076923,0.15384615384615385,1.3520301017579528,0.6760150508789764
chose,lemma,1.0,0.0,5.0,3.0,9.0,0.1111111111111111,0.0,0.5555555555555556,0.3333333333333333,1.3516441151533924,0.6758220575766962
le,word,4.0,2.0,32.0,10.0,48.0,0.08333333333333333,0.041666666666666664,0.6666666666666666,0.20833333333333334,1.3512274809529556,0.6756137404764778
rien,lemma,6.0,0.0,22.0,8.0,36.0,0.16666666666666666,0.0,0.6111111111111112,0.2222222222222222,1.3472230399326601,0.6736115199663301
rien,word,6.0,0.0,22.0,8.0,36.0,0.16666666666666666,0.0,0.6111111111111112,0.2222222222222222,1.3472230399326601,0.6736115199663301
son,word,0.0,1.0,6.0,5.0,12.0,0.0,0.08333333333333333,0.5,0.4166666666666667,1.3250112108241772,0.6625056054120886
juif,lemma,1.0,1.0,11.0,3.0,16.0,0.0625,0.0625,0.6875,0.1875,1.3244602933016414,0.6622301466508207
mon,lemma,1.0,1.0,15.0,7.0,24.0,0.041666666666666664,0.041666666666666664,0.625,0.2916666666666667,1.324344026199031,0.6621720130995155
te,lemma,10.0,5.0,41.0,3.0,59.0,0.1694915254237288,0.0847457627118644,0.6949152542372882,0.05084745762711865,1.3191948948734455,0.6595974474367228
quoi,lemma,4.0,5.0,35.0,5.0,49.0,0.08163265306122448,0.10204081632653061,0.7142857142857143,0.10204081632653061,1.3138080779530155,0.6569040389765077
quoi,word,4.0,5.0,35.0,5.0,49.0,0.08163265306122448,0.10204081632653061,0.7142857142857143,0.10204081632653061,1.3138080779530155,0.6569040389765077
arrete,word,2.0,0.0,7.0,2.0,11.0,0.18181818181818182,0.0,0.6363636363636364,0.18181818181818182,1.3092966682370037,0.6546483341185019
arrete,lemma,2.0,0.0,7.0,2.0,11.0,0.18181818181818182,0.0,0.6363636363636364,0.18181818181818182,1.3092966682370037,0.6546483341185019
y,lemma,2.0,0.0,7.0,2.0,11.0,0.18181818181818182,0.0,0.6363636363636364,0.18181818181818182,1.3092966682370037,0.6546483341185019
pouvoir,lemma,2.0,0.0,5.0,1.0,8.0,0.25,0.0,0.625,0.125,1.2987949406953985,0.6493974703476992
fou,word,0.0,3.0,6.0,1.0,10.0,0.0,0.3,0.6,0.1,1.295461844238322,0.647730922119161
autres,word,1.0,0.0,6.0,3.0,10.0,0.1,0.0,0.6,0.3,1.295461844238322,0.647730922119161
brice,word,4.0,1.0,19.0,3.0,27.0,0.14814814814814814,0.037037037037037035,0.7037037037037037,0.1111111111111111,1.2932019370674834,0.6466009685337417
l,lemma,4.0,0.0,7.0,1.0,12.0,0.3333333333333333,0.0,0.5833333333333334,0.08333333333333333,1.2806721295208872,0.6403360647604436
